backside,ひっぷ
body louse,ひとじらみ
body lice,ひとじらみ
head louse,ひとじらみ
head lice,ひとじらみ
human growth hormone,ひとせいちょうほるもん
lime-leaved maple,ひとつばかえで
acer distylum,ひとつばかえで
starfish (any echinoderm of the class Asteroidea),ひとで
asteroid,ひとで
sea star,ひとで
northern Pacific seastar (Asterias amurensis),ひとで
human leukocyte antigen,ひとはっけっきゅうこうげん
HLA,ひとはっけっきゅうこうげん
human immunodeficiency virus,ひとめんえきふぜんういるす
HIV,ひとめんえきふぜんういるす
hydra,ひどら
Hitler,ひとらー
Hitler Youth,ひとらーせいねんたい
Hitler Youth (ger: Hitler-Jugend),ひとらーゆーげんと
hydrazide,ひどらじど
hydrazine,ひどらじん
garden tiger moth (Arctia caja),ひとりが
Eurasian wigeon (Anas penelope),ひどりがも
hydroxyapatite,ひどろきしあぱたいと
hydroxy acid,ひどろきしさん
hydroxyl group,ひどろきしるき
hydroxonium ion,ひどろきそにうむいおん
hydroquinone,ひどろきのん
hydrogel,ひどろげる
hydrocortisone,ひどろこるちぞん
hydrosol,ひどろぞる
hydrozoans,ひどろちゅうるい
hydronium ion,ひどろにうむいおん
hydropolyp,ひどろぽりぷ
hydrozoan,ひどろむしるい
hydrolase,ひどろらーぜ
piton (metal support peg used when climbing),ぴとん
pinnacle,ぴなくる
Burmannia championii (species of flowering plant),ひなのしゃくじょう
camassia,ひなゆり
wild hyacinth,ひなゆり
vinyl,びにーる
plastic umbrella,びにーるがさ
vinyl sheet flooring,びにーるしーとゆかざい
plastic (usu. of bags),びにーるせい
vinyl,びにーるせい
plastic greenhouse (和製: vinyl house),びにーるはうす
plastic bag,びにーるぶくろ
vinyl paint,びにーるぺいんと
pinion,ぴにおん
vinegar,びにが
vinyl (plastic) headed hammer,びにはん
pornographic magazines sold wrapped in plastic,びにぼん
to go to a convenience store,びにる
vinyl,びにる
vinyl group,びにるき
vinyl resin,びにるじゅし
vinylon,びにろん
Mortonagrion hirosei (species of damselfly),ひぬまいととんぼ
vinegar,びねがー
vinaigrette sauce,びねぐれっとそーす
pinene,ぴねん
hinoki cypress (Chamaecyparis obtusa),ひのき
Japanese cypress,ひのき
Cupressaceae (plant family),ひのきか
cypress,ひのきか
the order Cupressales (plant),ひのきもく
Hinohikari (variety of rice),ひのひかり
hinoki,ひば
Japanese cypress,ひば
Chamaecyparis obtus,ひば
white-cedar leaf,ひば
alias for Asunaro,ひば
beaver,びば
viva,びば
pipa (Pipa pipa),ぴぱ
Surinam toad,ぴぱ
bivouac (fre: bivouac, ger: Biwak),びばーく
behind,びはいんど
bebop (1940s popular music),びばっぷ
Arctic wrack (Fucus evanescens),ひばまた
baboon,ひひ
lecher,ひひ
dirty old man,ひひ
skirt-chaser,ひひ
vehicle,びひくる
hibiscus,ひびすかす
Lactobacillus bifidus,びひずす
vivid,びびっど
the 'be-be-be' sound of a detector going off,びびびっ
clicking with someone,びびびっ
being compatible,びびびっ
behemoth,びひもす
chatter mark (machine tools),びびり
Pippin ATMARK,ぴぴんあっとまーく
bibimbab (Korean rice dish),びびんば
BIFF,びふ
PIF,ぴふ
Lactobacillus bifidus,びふぃずす
Lactobacillus bifidus,びふぃずすきん
biphenyl,びふぇにる
before service,びふぉあさーびす
dermatology,ひふか
beefsteak,びふてき
hypnosis,ひぷのしす
vibrato,びぶらーと
vibraphone,びぶらふぉーん
vibraphone,びぶらふぉん
vibrio,びぶりお
bibliography,びぶりおぐらふぃー
bibliomania,びぶりおまにあ
biblid,びぶりっど
pibroch,ぴぶろっく
behaviour,びへいびあ
behavior,びへいびあ
behaviourism,びへいびありずむ
behaviorism,びへいびありずむ
pipette,ぴぺっと
piperazine,ぴぺらじん
piperine,ぴぺりん
piperonal,ぴぺろなーる
Hippocratic oath,ひぽくらてすのちかい
hypocrite,ひぽくりっと
hypochondria (ger: Hypochondrie),ひぽこんでりー
pivot,ぴぼっと
Himalaya,ひまらや
Himalayan cedar (Cedrus deodara),ひまらやすぎ
deodar,ひまらやすぎ
Himalayan cedar (Cedrus deodara),ひまらやすぎ
deodar,ひまらやすぎ
Bergenia stracheyi (species of bergenia),ひまらやゆきのした
Bergenia stracheyi (species of bergenia),ひまらやゆきのした
Himalayan (breed of cat),ひまらやん
hymn,ひむ
VIM,びむ
PIM,ぴむ
house swift (Apus nipalensis),ひめあまつばめ
Monomorium intrudens (species of ant),ひめあり
common wombat (Vombatus ursinus),ひめうぉんばっと
dovekie (Alle alle),ひめうみすずめ
dovekey,ひめうみすずめ
little auk,ひめうみすずめ
European storm petrel (Hydrobates pelagicus),ひめうみつばめ
Broussonetia kazinoki (species of mulberry),ひめこうぞ
soybean beetle (Anomala rufocuprea),ひめこがね
Bensasi goatfish (species of red mullet, Upeneus japonicus),ひめじ
daisy,ひめじおん
Erigeron annuus,ひめじおん
fringed iris (Iris gracilipes),ひめしゃが
tall stewartia,ひめしゃら
hime-syara stewartia,ひめしゃら
stewartia monadelpha,ひめしゃら
daisy,ひめじょおん
Erigeron annuus,ひめじょおん
Meloe coarctatus (species of oil beetle),ひめつちはんみょう
Chinese guger tree (species of evergreen, Schima wallichii),ひめつばき
sasanqua (Camellia sasanqua),ひめつばき
Japanese privet (Ligustrum japonicum),ひめつばき
small Japanese field mouse (Apodemus argenteus),ひめねずみ
dwarf milkwort (Polygala japonica),ひめはぎ
ichneumon wasp,ひめばち
ichneumon fly,ひめばち
mining bee (of family Andrenidae),ひめはなばち
Euterpnosia chibensis (species of cicada),ひめはるぜみ
kokanee (landlocked variety of sockeye salmon, Oncorhynchus nerka),ひめます
pimento,ぴめんと
string bikini,ひもぱん
g-string,ひもぱん
thong,ひもぱん
ribbon worm (any worm of phylum Nemertea),ひもむし
beer (dut: bier),びや
beer-garden,びやがーでん
bai zhi (Chinese name for angelica species Angelica dahurica),びゃくし
traditional Chinese cure made from the root of this plant,びゃくし
Heracleum nipponicum (species of hogweed),びゃくし
Chinese juniper (Juniperus chinensis),びゃくしん
hyacinth,ひやしんす
beer stand,びやすたんど
beer barrel,びやだる
beer-hall,びやほーる
beer mug,びやまぐ
close call,ひやりはっと
near miss,ひやりはっと
hearing,ひやりんぐ
listening comprehension,ひやりんぐ
public hearing,ひやりんぐ
interview,ひやりんぐ
Joseph's-coat (Amaranthus tricolor),ひゆ
tampala,ひゆ
pure,ぴゅあ
pure text,ぴゅあてきすと
pure malt,ぴゅあもると
purist,ぴゅありすと
pure log backup,ぴゅあろぐばっくあっぷ
view,びゅー
viewer,びゅーあ
viewer,びゅーあー
viewing transformation,びゅーいんぐへんかん
normalization transformation,びゅーいんぐへんかん
window-to-viewport transformation,びゅーいんぐへんかん
view window,びゅーうぃんどう
viewcam,びゅーかむ
view reference coordinates,びゅーきじゅんざひょうけい
view reference point,びゅーきじゅんてん
bugle,びゅーぐる
type of power contact on the top of electric trains (ger: Bugel),びゅーげる
bow collector,びゅーげる
view index,びゅーしひょう
view mapping matrix,びゅーしゃぞうへんかんぎょうれつ
view up vector,びゅーじょうほうこうていぎべくとる
fuse,ひゅーず
fuse cock,ひゅーずこっく
Houston,ひゅーすとん
Hughes Network Systems,ひゅーずねっとわーくしすてむず
pewter,ぴゅーたー
beauty,びゅーてぃ
beauty,びゅーてぃー
beauty adviser,びゅーてぃーあどばいざー
beauty advisor,びゅーてぃーあどばいざー
beauty corner,びゅーてぃーこーなー
beauty contest,びゅーてぃーこんてすと
beauty cycle,びゅーてぃーさいくる
beauty salon,びゅーてぃーさろん
beauty spot,びゅーてぃーすぽっと
beauty parlor,びゅーてぃーぱーらー
beauty parlour,びゅーてぃーぱーらー
view table,びゅーていぎひょう
beautiful,びゅーてぃふる
Viewtron,びゅーとろん
whistling sound,ひゅーひゅー
sound of the wind,ひゅーひゅー
view representation,びゅーひょうげん
view plane,びゅーへいめん
view plane normal,びゅーへいめんほうせん
view transformation input priority,びゅーへんかんにゅうりょくゆうせんど
viewpoint,びゅーぽいんと
view orientation matrix,びゅーほうこうへんかんぎょうれつ
viewport,びゅーぽーと
puma,ぴゅーま
cougar,ぴゅーま
American lion,ぴゅーま
humor,ひゅーまー
humour,ひゅーまー
humanistic,ひゅーまにすてぃっく
humanist,ひゅーまにすと
humanism,ひゅーまにずむ
humanization,ひゅーまにぜーしょん
humanisation,ひゅーまにぜーしょん
humanity,ひゅーまにてぃー
humanoid,ひゅーまのいど
human,ひゅーまん
human assessment,ひゅーまんあせすめんと
human interface,ひゅーまんいんたーふぇーす
computer human interface,ひゅーまんいんたふぇーす
CHI,ひゅーまんいんたふぇーす
human interest,ひゅーまんいんたれすと
human wave,ひゅーまんうえーぶ
human ecology,ひゅーまんえころじー
human engineering,ひゅーまんえんじにありんぐ
HE,ひゅーまんえんじにありんぐ
human document,ひゅーまんどきゅめんと
humanlike,ひゅーまんらいく
human resources,ひゅーまんりそーす
human relations,ひゅーまんりれーしょんず
HR,ひゅーまんりれーしょんず
Hume concrete pipe,ひゅーむかん
humour,ひゅーもあ
heuristic,ひゅーりすてぃく
heuristics,ひゅーりすてぃくす
heuristic,ひゅーりすてぃっく
heuristics,ひゅーりすてぃっくす
Puritan,ぴゅーりたん
Puritan Revolution,ぴゅーりたんかくめい
view volume,びゅーりったい
Pulitzer (as in Pulitzer Prize),ぴゅーりっつぁー
Pulitzer (as in Pulitzer Prize),ぴゅーりっつあー
Pulitzer prize,ぴゅーりっつぁーしょう
puree,ぴゅーれ
Hewlett (Packard),ひゅーれっと
HP,ひゅーれっとぱっかーど
Hewlett Packard,ひゅーれっとぱっかーど
bureau,びゅーろー
bureaucracy,びゅーろくらしー
bureaucrat,びゅーろくらっと
delivery via bureaufax service,びゅーろふぁっくすさーびすによるはいたつ
PD PR,びゅーろふぁっくすさーびすによるはいたつ
viewer,びゅーわ
hut (ger: Huette),ひゅって
buffet,びゅっふぇ
self-service meal,びゅっふぇ
hydra,ひゅどら
heuristics,ひゅりすてぃっくす
puree,ぴゅれ
hyle,ひゅれー
burette,びゅれっと
buret,びゅれっと
leopard print (design),ひょうがら
gourd,ひょうたん
calabash (Lagenaria siceraria var. gourda),ひょうたん
blue-ringed octopus (esp. one species, the blue-lined octopus, Hapalochlaena fasciata),ひょうもんだこ
Chinese hypericum,びょうやなぎ
Hypericum chinense var. salicifolia,びょうやなぎ
flying lemur,ひよけざる
colugo,ひよけざる
sun spider (any arachnid of order Solifugae),ひよけむし
wind scorpion,ひよけむし
camel spider,ひよけむし
solpugid,ひよけむし
henbane (Hyoscyamus niger),ひよす
hyoscyamine,ひよすちあみん
brown-eared bulbul (Hypsipetes amaurotis),ひよどり
Eupatorium makinoi (species of boneset),ひよどりばな
cheep cheep,ぴよぴよ
tweet tweet,ぴよぴよ
low-ranking employee,ひら
freshman,ひら
novice,ひら
private,ひら
holiday house,びら
villa,びら
hyracotherium,ひらこてりうむ
eohippus (earliest fossil ancestor of the horse),ひらこてりうむ
pilaster,ぴらすたー
pyrazolone,ぴらぞろん
Uroctea compactilis (species of araneomorph spider),ひらたぐも
oyster mushroom (Pleurotus ostreatus),ひらたけ
pilates,ぴらてぃす
piranha,ぴらにあ
pilaf,ぴらふ
lentil,ひらまめ
pyramid,ぴらみっど
pyramid-style,ぴらみっどがた
pyramid-shaped,ぴらみっどがた
pyramid-style,ぴらみっどがた
pyramid-shaped,ぴらみっどがた
pyramid selling,ぴらみっどせりんぐ
Pyramidon (brand-name aminopyrine),ぴらみどん
Hirami lemon (Citrus Depressa),ひらみれもん
flounder (esp. the large-tooth flounders of family Paralichthyidae, but also lefteye flounders of family Bothidae),ひらめ
bastard halibut,ひらめ
olive flounder (Paralichthys olivaceus),ひらめ
soleus muscle,ひらめきん
pirarucu,ぴらるく
pirarucu (Arapaima gigas),ぴらるくー
arapaima,ぴらるくー
paiche,ぴらるくー
blister agent,びらんざい
period,ぴり
periodic,ぴりおでぃっく
period,ぴりおど
dot character,ぴりおど
period (era, amount of time),ぴりおど
period (sports),ぴりおど
put an end (to),ぴりおどをうつ
close the books (on),ぴりおどをうつ
billionaire,びりおねあ
billion,びりおん
viridian,びりじあん
pyridine,ぴりじん
Streptococcus viridans,びりだんすがたれんさきゅうきん
to hurt,ひりつく
to smart,ひりつく
to sting,ひりつく
pyridoxal,ぴりどきさーる
pyridoxal,ぴりどきさる
pyridoxine,ぴりどきしん
pyrimidine,ぴりみじん
billiards,びりやーど
bilirubin,びりるびん
pyrine,ぴりん
pilling,ぴりんぐ
pyrine medicine,ぴりんけい
hill,ひる
building,びる
bill,びる
pill,ぴる
birth-control pill,ぴる
oral contraceptive,ぴる
the pill,ぴる
pirouette (horse gait),ぴるーえっと
pirouette,ぴるえっと
eddies of wind around high buildings,びるかぜ
mangrove (of family Rhizophoraceae),ひるぎ
grey mangrove (Avicennia marina),ひるぎだまし
white mangrove,ひるぎだまし
hill climb,ひるくらいむ
Pilgrim Fathers,ぴるぐりむふぁーざーず
William H. Gates,びるげいつ
bilge,びるじ
pilsicainide hydrochloride (anti-arrhythmic drug),ぴるじかいにどえんさん
bilge-keel,びるじきーる
building highjack (hostage situation),びるじゃっく
hirudin (anticoagulant polypeptide produced by leeches),ひるじん
virgin (esp. the Virgin Mary) (por: virgem),びるぜん
builder,びるだ
builder,びるだー
buildering,びるだーりんぐ
building,びるでぃんぐ
building automation,びるでぃんぐおーとめーしょん
build,びるど
built-in,びるといん
built-in stabilizer,びるといんすたびらいざー
Piltdown hoax (1912 discovery of a fossilized ape-human missing-link skull, later revealed to be fraudulent),ぴるとだうんじけん
Piltdown man (manufactured fossil of a fraudulent ape-human missing link, Eoanthropus dawsoni),ぴるとだうんじん
build number,びるどばんごう
hillbilly,ひるびりー
hillbilly music,ひるびりーみゅーじっく
pyruvic acid,ぴるびんさん
pyruvate,ぴるびんさん
bill broker,びるぶろーかー
bilberry,びるべりー
European blueberry,びるべりー
Hilbert,ひるべると
Hilbert space,ひるべるとくうかん
billboard,びるぼーど
Burma,びるま
Burmese Wars (1823-1826, 1852-1853, 1885-1887),びるませんそう
building maintenance,びるめんてなんす
fillet (fre: filet),ひれ
pilea,ぴれあ
phalarope (any sandpiper of family Phalaropodidae),ひれあししぎ
belaying (from belay),びれー
village,びれっじ
billet,びれっと
pyrethrin,ぴれとりん
long-finned pilot whale (Globicephala melas),ひれながごんどう
pyrenoid,ぴれのいど
pyrene,ぴれん
Japanese waxwing (species of passerine bird, Bombycilla japonica),ひれんじゃく
heroism,ひろいずむ
heroic,ひろいっく
heroine,ひろいん
pillow,ぴろー
pillowcase,ぴろーけーす
velvet (por: veludo),びろーど
pillow talk,ぴろーとーく
pyrrole,ぴろーる
pilocarpine,ぴろかるぴん
pyrogallol,ぴろがろーる
piroshki (Russian pierogi; meat and eggs, etc. baked in bread) (rus: pirozhki),びろしき
piroshki (Russian pierogi; meat and eggs, etc. baked in bread) (rus: pirozhki),ぴろしき
tineid (any moth of family Tineidae),ひろずこが
pile (fre: pilotis),ぴろてぃ
stilt,ぴろてぃ
Philopon (banned Japanese brand-name methamphetamine),ひろぽん
Helicobacter pylori,ぴろりきん
pyrophosphoric acid,ぴろりんさん
pyrophosphoric acid,ぴろりんさん
pylon,ぴろん
cardueline finch (any finch of subfamily Carduelinae, esp. the Eurasian siskin, Carduelis spinus),ひわ
biwa trout (Oncorhynchus masou rhodurus),びわます
biwa salmon,びわます
pin,ぴん
dowel,ぴん
pinup,ぴんあっぷ
PinYin (Chinese romanization system) (romanisation),ぴんいん
pin curl,ぴんかーる
from the best to the worst,ぴんからきりまで
all sorts of,ぴんからきりまで
full range,ぴんからきりまで
pinky,ぴんきー
pinking,ぴんきんぐ
pinking shears,ぴんきんぐばさみ
pink,ぴんく
ping,ぴんぐ
blue film (lit: pink film),ぴんくえいが
blue movie,ぴんくえいが
pink-collar,ぴんくからー
pink grapefruit,ぴんくぐれーぷふるーつ
pink salon,ぴんくさろん
flyer advertising a sex-related business,ぴんくちらし
pincushion,ぴんくっしょん
pink noise,ぴんくのいず
pink mood,ぴんくむーど
vincristine,びんくりすちん
pink lady,ぴんくれでぃー
pink Lolita (fashion style),ぴんくろり
bingo,びんご
pin-compatible,ぴんごかん
bingo game,びんごげーむ
pin connector,ぴんこねくた
crisp, unwrinkled banknote,ぴんさつ
hinge,ひんじ
pin jack,ぴんじゃっく
Hindu,ひんずー
Hinduism,ひんずーきょう
tweezers (fre: pincette, dut: pincet),ぴんせっと
forceps,ぴんせっと
pin-outs,ぴんせつめい
hinterland,ひんたーらんど
pin tuck,ぴんたっく
hinge,ひんぢ
pinch,ぴんち
crisis,ぴんち
clothespin,ぴんち
pinchcock,ぴんちこっく
pinch hitter,ぴんちひったー
pinch runner,ぴんちらんなー
Hindi,ひんでぃー
Hindi,ひんでぃーご
Hindi,ひんでぃご
vintage,びんていじ
foot fastening (ski) (ger: Bindung),びんでぃんぐ
binding,びんでぃんぐ
vintage,びんてーじ
vintage year,びんてーじいやー
hint,ひんと
focus point (dut: brandpunt),ぴんと
focus,ぴんと
Hinduism,ひんどぅーきょう
Hindustani (language),ひんどぅすたーにーご
rack focus,ぴんとおくり
to be out of focus,ぴんとがはずれる
to be off the point,ぴんとがはずれる
to be queer in the head,ぴんとがはずれる
ground glass,ぴんとぐらす
Hindustan,ひんどすたん
albacore (Thunnus alalunga),びんなが
germon,びんなが
pinup,ぴんなっぷ
pinup girl,ぴんなっぷがーる
Min Nan (dialect of Chinese, inc. Taiwanese),びんなんご
ping pong dash,ぴんにげ
ding dong dash,ぴんにげ
someone whose state is slightly poorer than regular poverty,びんばー
2nd degree poverty,びんばー
(taking a) kickback,ぴんはね
(taking a) kickback,ぴんはね
stiletto (high heels) (和製: pin heel),ぴんひーる
hard (e.g. penis),びんびん
strong (e.g. beat of music),びんびん
pin feed,ぴんふぃーど
vinblastine,びんぶらすちん
extremely poor person,びんべすと
3rd degree poverty,びんべすと
pinpoint,ぴんぽいんと
pinpoint landing,ぴんぽいんとらんでぃんぐ
pinhole,ぴんほーる
pinball,ぴんぼーる
pinhole camera,ぴんほーるかめら
pinhole collar,ぴんほーるからー
ping-pong,ぴんぽーん
table tennis,ぴんぽーん
exactly!,ぴんぽーん
surely!,ぴんぽーん
that's it!,ぴんぽーん
out of focus,ぴんぼけ
off the point,ぴんぼけ
ping-pong,ぴんぽん
table tennis,ぴんぽん
exactly!,ぴんぽん
surely!,ぴんぽん
that's it!,ぴんぽん
ding-dong dash (ringing a doorbell and running away),ぴんぽんだっしゅ
pin lever watch,ぴんればーうぉっち
to get a rakeoff,ぴんをはねる
to get a kickback,ぴんをはねる
to take a kickback,ぴんをはねる
fa,ふぁ
fah,ふぁ
4th note in the tonic solfa representation of the diatonic scale,ふぁ
poor,ぷあ
fur,ふぁー
far,ふぁー
poor,ぷあー
firmware,ふぁあーむうえあ
Far East,ふぁーいーすと
fur coat,ふぁーこーと
father,ふぁーざー
phage,ふぁーじ
farthing,ふぁーじんぐ
farce,ふぁーす
first,ふぁーすと
first baseman,ふぁーすと
first base,ふぁーすと
fast,ふぁーすと
fast Ethernet,ふぁーすといーさねっと
first impression,ふぁーすといんぷれっしょん
fast color,ふぁーすとからー
first kiss,ふぁーすときす
First Kitchen (fast food restaurant chain),ふぁーすときっちん
first-class,ふぁーすとくらす
first contact,ふぁーすとこんたくと
first down,ふぁーすとだうん
First Nations (i.e. non-Inuit or Metis aboriginal peoples in Canada),ふぁーすとねーしょん
first name,ふぁーすとねえむ
first-name,ふぁーすとねーむ
fast back,ふぁーすとばっく
fast-food,ふぁーすとふーど
fast break,ふぁーすとぶれーく
first base,ふぁーすとべーす
first love,ふぁーすとらぶ
first run,ふぁーすとらん
first lady,ふぁーすとれでぃー
furniture,ふぁーにちゃー
furnace,ふぁーねす
poor white,ぷあーほわいと
farmer,ふぁーまー
pharmacy,ふぁーましー
chemist,ふぁーましー
drug store,ふぁーましー
farm,ふぁーむ
firm,ふぁーむ
firmware,ふぁーむうぇあ
firmware,ふぁーむうえあ
farm stay,ふぁーむすてい
farm team,ふぁーむちーむ
firm banking,ふぁーむばんきんぐ
farm banking,ふぁーむばんきんぐ
foul (sports),ふぁーる
furlong,ふぁーろんぐ
fire,ふぁいあ
firewall,ふぁいあーうぉーる
firewall,ふぁいあーうおーる
fire salamander (Salamandra salamandra),ふぁいあーさらまんだー
fire alarm,ふぁいああらーむ
fire insurance,ふぁいあいんしゅあらんす
firewall,ふぁいあうぉーる
firewall,ふぁいあうおーる
fire salamander (Salamandra salamandra),ふぁいあさらまんだー
fire storm (celebratory bonfire),ふぁいあすとーむ
Firefox,ふぁいあふぉっくす
fireproof,ふぁいあぷるーふ
fireplace,ふぁいあぷれーす
fireman,ふぁいあまん
FireWire,ふぁいあわいや
fighter,ふぁいたー
fighting spirit,ふぁいてぃんぐすぴりっと
fight,ふぁいと
fight money,ふぁいとまねー
purse,ふぁいとまねー
final,ふぁいなる
final set,ふぁいなるせっと
final version,ふぁいなるばーじょん
financial planning,ふぁいなんしゃるぷらんにんぐ
finance,ふぁいなんす
fiber,ふぁいば
fibre,ふぁいば
fiber,ふぁいばー
fibre,ふぁいばー
fiber optics,ふぁいばーおぷてぃくす
fiberglass,ふぁいばーがらす
fibreglass,ふぁいばーがらす
fiber concrete,ふぁいばーこんくりーと
fiberscope,ふぁいばーすこーぷ
fibrescope,ふぁいばーすこーぷ
fiber cut,ふぁいばーせつだん
Fibre Channel,ふぁいばーちゃねる
fiber to the home,ふぁいばーつーざほーむ
fiberboard,ふぁいばーぼーど
fibreboard,ふぁいばーぼーど
fiber optics,ふぁいばおぷてぃっくす
Fibre Channel,ふぁいばちゃねる
fiber to the curb,ふぁいばつーざかーぶ
FTTC,ふぁいばつーざかーぶ
fiber to the home,ふぁいばつーざほーむ
FTTH,ふぁいばつーざほーむ
fiber to the home,ふぁいばとぅざほーむ
FTTH,ふぁいばとぅざほーむ
five,ふぁいぶ
FIFO,ふぁいふぉー
five-star,ふぁいぶすたー
fire,ふぁいや
fire,ふぁいやー
firewall,ふぁいやーうぉーる
firewall,ふぁいやーうおーる
firewall,ふぁいやうぉーる
firewall,ふぁいやうおーる
firing,ふぁいやりんぐ
igniting,ふぁいやりんぐ
kindling,ふぁいやりんぐ
filer,ふぁいら
filer,ふぁいらー
filing,ふぁいりんぐ
filing system,ふぁいりんぐしすてむ
file,ふぁいる
file access,ふぁいるあくせす
file access structure,ふぁいるあくせすこうぞう
file access data unit,ふぁいるあくせすでーたたんい
file access mode,ふぁいるあくせすもーど
file adapter,ふぁいるあだぷた
file compression,ふぁいるあっしゅく
file allocation table,ふぁいるあろけーしょんてーぶる
FAT,ふぁいるあろけーしょんてーぶる
file position indicator,ふぁいるいちしじし
file offset,ふぁいるおふせっと
end-of-file mark,ふぁいるおわりまーく
end-of-file label,ふぁいるおわりらべる
trailer label,ふぁいるおわりらべる
EOF,ふぁいるおわりらべる
file extension,ふぁいるかくちょうし
file-infection virus,ふぁいるかんせんかたういるす
file management,ふぁいるかんり
file-control,ふぁいるかんり
file control entry,ふぁいるかんりきじゅつこう
file storage,ふぁいるきおくそうち
file description,ふぁいるきじゅつ
file description entry,ふぁいるきじゅつこう
file descriptor,ふぁいるきじゅつし
file cache,ふぁいるきゃっしゅ
filing cabinet,ふぁいるきゃびねっと
file cabinet,ふぁいるきゃびねっと
file sharing,ふぁいるきょうゆう
file-sharing service,ふぁいるきょうゆうさーびす
file sharing,ふぁいるきょうよう
file permission bits,ふぁいるきょかびっと
file clause,ふぁいるく
file clean-up,ふぁいるくりーんあっぷ
file group class,ふぁいるぐるーぷくらす
file format,ふぁいるけいしき
file connector,ふぁいるけつごうし
file replacement software,ふぁいるこうかんそふとうぇあ
fixed file attributes,ふぁいるこゆうぞくせい
file collection,ふぁいるこれくしょん
file contents,ふぁいるこんてんつ
file converter,ふぁいるこんばーた
file server,ふぁいるさーば
file server,ふぁいるさーばー
file service user,ふぁいるさーびすりようしゃ
file size,ふぁいるさいず
file creation time,ふぁいるさくせいじ
file sharing,ふぁいるしぇありんぐ
file system,ふぁいるしすてむ
file specification,ふぁいるしてい
at end condition,ふぁいるしゅうりょうじょうけん
file owner class,ふぁいるしょゆうしゃくらす
file-handling routine,ふぁいるしょりるーちん
filestore action,ふぁいるすとあどうさ
file-slot,ふぁいるすろっと
file section,ふぁいるせつ
file set,ふぁいるせっと
file clean-up,ふぁいるそうじ
file transfer, transmission,ふぁいるそうしん
file attributes,ふぁいるぞくせい
file attribute conflict condition,ふぁいるぞくせいふせいごうじょうけん
file other class,ふぁいるたしゃくらす
file DSN,ふぁいるでぃーえすえん
file descriptor,ふぁいるでぃすくりぷた
file test,ふぁいるてすと
file transfer,ふぁいるてんそう
File Transfer Protocol,ふぁいるてんそうぷろとこる
FTP,ふぁいるてんそうぷろとこる
file serial number,ふぁいるとおしばんごう
file input-output,ふぁいるにゅうしゅつりょく
filename,ふぁいるねーむ
file compression,ふぁいるのあっしゅく
file updating,ふぁいるのこうしん
file deletion,ふぁいるのさくじょ
file recovery,ふぁいるのしゅうふく
file fragmentation,ふぁいるのだんぺんか
file conversion,ふぁいるのへんかん
file protection,ふぁいるのほご
file maintenance,ふぁいるのほしゅ
file permission,ふぁいるぱーみっしょん
beginning-of-file label,ふぁいるはじめらべる
header label,ふぁいるはじめらべる
HDR,ふぁいるはじめらべる
file backup,ふぁいるばっくあっぷ
file handle,ふぁいるはんどる
file format,ふぁいるふぉーまっと
