ozone layer,おぞんそう
object class,おぶじぇくとくらす
object code,おぶじぇくとこーど
object identifier,おぶじぇくとしきべつし
object identifier type,おぶじぇくとしきべつしがた
object-oriented,おぶじぇくとしこう
object-oriented interface,おぶじぇくとしこういんたふぇーす
object oriented database,おぶじぇくとしこうがたでーたべーす
object-oriented graphics,おぶじぇくとしこうぐらふぃっくす
object-oriented language,おぶじぇくとしこうげんご
object-oriented database,おぶじぇくとしこうでーたべーす
OODB,おぶじぇくとしこうでーたべーす
object-oriented programming,おぶじぇくとしこうぷろぐらみんぐ
object modification,おぶじぇくとしゅうしょく
object database management system,おぶじぇくとでーたべーすかんりしすてむ
Object Linking and Embedding,おぶじぇくとのりんくとうめこみ
OLE,おぶじぇくとのりんくとうめこみ
object file,おぶじぇくとふぁいる
object browser,おぶじぇくとぶらうざ
object program,おぶじぇくとぷろぐらむ
object module,おぶじぇくともじゅーる
object modeling tool,おぶじぇくともでりんぐつーる
object model diagram,おぶじぇくともでるだいあぐらむ
object library,おぶじぇくとらいぶらり
offshore,おふしょあ
offshore market,おふしょあいちば
offshore development,おふしょあかいはつ
offshore company,おふしょあかんぱにー
offshore center,おふしょあせんたー
offshore centre,おふしょあせんたー
offshore fund,おふしょあふぁんど
optional,おぷしょなる
optional tour,おぷしょなるつあー
optional parts,おぷしょなるぱーつ
off shoulder,おふしょるだー
off-the-shoulder neckline,おふしょるだーねっくらいん
option,おぷしょん
Option key,おぷしょんきー
option contract,おぷしょんけいやく
option switch,おぷしょんすいっち
option trading,おぷしょんとりひき
option dealing,おぷしょんとりひき
option transaction,おぷしょんとりひき
option button,おぷしょんぼたん
opus,おぷす
Opus Dei (Roman Catholic organization),おぷす・でい
off-screen memory,おふすくりーんめもり
Opus Dei (Roman Catholic organization),おぷすでい
obstruction,おぶすとらくしょん
obsession,おぶせっしょん
offset,おふせっと
offset printing,おふせっといんさつ
opsonin,おぷそにん
off-time,おふたいむ
optimistic,おぷちみすてぃっく
optimist,おぷちみすと
optimism,おぷちみずむ
optical,おぷてぃかる
optical art,おぷてぃかるあーと
optical scanner,おぷてぃかるすきゃな
optical printer,おぷてぃかるぷりんた
optical mouse,おぷてぃかるまうす
OptiPlex,おぷてぃぷれっくす
optimizer,おぷてぃまいざ
optimiser,おぷてぃまいざ
optimize,おぷてぃまいず
optimise,おぷてぃまいず
optimistic,おぷてぃみすてぃっく
optimist,おぷてぃみすと
optimism,おぷてぃみずむ
optoelectronics,おぷとえれくとろにくす
optomechanical mouse,おぷとめかにかるまうす
off-track,おふとらっく
off-beat,おふびーと
off hook (line),おふふっく
OH,おふふっく
off Broadway,おふぶろーどうぇー
off-white,おふほわいと
off mike,おふまいく
offline meeting,おふみ
oblate (dut: oblaat, ger: oblate),おぶらーと
use an indirect expression,おぶらーとにつつむ
off-line,おふらいん
offline storage,おふらいんきおくそうち
offline storage,おふらいんすとれーじ
offline folder file,おふらいんふぉるだふぁいる
offline help,おふらいんへるぷ
off-line meeting,おふらいんみーてぃんぐ
off-ramp,おふらんぷ
oblique line,おぶりーく
obbligato,おぶりがーと
obligation,おぶりげーしょん
off-limits,おふりみっと
off-the-record,おふれこ
off-road,おふろーど
off-road bike,おふろーどばいく
off-road race,おふろーどれーす
medical operation,おぺ
operational amplifier,おぺあんぷ
opaque,おぺーく
operation code,おぺこーど
op-code,おぺこーど
opcode,おぺこど
Organization of Petroleum Exporting Countries (Organisation),おぺっく
OPEC,おぺっく
opera,おぺら
opera singer,おぺらかしゅ
opera glasses,おぺらぐらす
comic opera (fre: opera-comique),おぺらこみっく
opera house,おぺらざ
opera seria,おぺらせりあ
opera house,おぺらはうす
opera bag,おぺらばっぐ
opera hat,おぺらはっと
opera buffa,おぺらぶっふぁ
operant,おぺらんと
operand,おぺらんど
operant conditioning,おぺらんとじょうけんづけ
operant conditioning,おぺらんとじょうけんづけ
obelisk,おべりすく
obelisk,おべるすく
operating-system,おぺれいてぃんぐしすてむ
OS,おぺれいてぃんぐしすてむ
operational,おぺれーしょなる
operation,おぺれーしょん
operation code,おぺれーしょんこーど
op-code,おぺれーしょんこーど
operations,おぺれーしょんず
operations research,おぺれーしょんずりさーち
OR,おぺれーしょんずりさーち
operation center,おぺれーしょんせんたー
operation centre,おぺれーしょんせんたー
operation twist,おぺれーしょんついすと
Operations manuals,おぺれーしょんまにゅある
operations research,おぺれーしょんりさーち
operator,おぺれーた
operator,おぺれーたー
operating,おぺれーてぃんぐ
operating environment,おぺれーてぃんぐかんきょう
operating-system,おぺれーてぃんぐしすてむ
OS,おぺれーてぃんぐしすてむ
operating system image,おぺれーてぃんぐしすてむいめーじ
operating system firmware,おぺれーてぃんぐしすてむふぁーむうぇあ
operating margin,おぺれーてぃんぐまーじん
operetta,おぺれった
operon,おぺろん
operon theory (Jacob & Monod, 1961),おぺろんせつ
ovalbumin,おぼあるぶみん
opposition party,おぽじしょんぱーてぃー
opportunist,おぽちゅにすと
opportunism,おぽちゅにずむ
opossum,おぽっさむ
homage (fre: hommage),おまーじゅ
lobster (fre: homard),おまーる
lobster,おまーるえび
lobster,おまーるえび
lobster,おまーるえび
any monkey of family Cebidae (esp. the capuchin monkeys of genus Cebus, but also including marmosets, tamarins and squirrel monkeys),おまきざる
exception,おみっと
exclusion,おみっと
to omit,おみっと
to disallow (e.g. in a sport after a rule is broken),おみっと
to reject (e.g. faulty product),おみっと
to eject,おみっと
to expel,おみっと
to throw out,おみっと
golden lace (Patrinia scabiosifolia),おみなえし
scabious patrinia,おみなえし
yellow patrinia,おみなえし
diaper,おむつ
nappy,おむつ
diaper rash,おむつかぶれ
nappy rash,おむつかぶれ
omnibus,おむにばす
OMNIMAX,おむにまっくす
omelet with a filling of ketchup-seasoned fried rice (omelette) (和製: omelet rice),おむらいす
omelette,おむれつ
omelet,おむれつ
Omron Corporation (Japanese electronics firm),おむろん
omega navigation,おめがこうほう
omega-3 fatty acid,おめがさんしぼうさん
threeleaf arrowhead (Sagittaria trifolia),おもだか
mother,おもに
growing old,おやじか
alpine accentor (Prunella collaris),おやますずめ
Orion,おらいおん
oracle,おらくる
Oracle iAS,おらくるあいえーえす
Oracle Applications,おらくるあぷりけーしょん
Oracle EBS,おらくるいーびーえす
Oracle 8,おらくるえいと
Oracle 8i,おらくるえいとあい
Oracle 7,おらくるせぶん
Oracle 9i,おらくるないんあい
Oracle 9iAS,おらくるないんあいえーえす
Horatio,おらしょ
oratorio,おらとりお
orangutan,おらんうーたん
Holland (por: Olanda),おらんだ
The Netherlands,おらんだ
garden strawberry (Fragaria x ananassa),おらんだいちご
garden strawberry (Fragaria x ananassa),おらんだいちご
calla lily (Zantedeschia aethiopica),おらんだかいう
calla lily (Zantedeschia aethiopica),おらんだかいう
Dutch (language),おらんだご
Dutch East India Company,おらんだひがしいんどがいしゃ
Netherlands Guiana,おらんだりょうぎあな
sauce Hollandaise,おらんでーずそーす
olive,おりーヴ
olive (colour, color),おりーヴいろ
olive brown,おりーヴいろ
olive,おりーぶ
olive (colour, color),おりーぶいろ
olive brown,おりーぶいろ
olive oil,おりーぶおいる
olive green,おりーぶぐりーん
olive drab,おりーぶどらぶ
olivaceous piculet (species of bird, Picumnus olivaceus),おりーぶひめきつつき
olivaceous piculet (species of bird, Picumnus olivaceus),おりーぶひめきつつき
olive oil,おりーぶゆ
orientalist,おりえんたりすと
orientalism,おりえんたりずむ
oriental,おりえんたる
orientation,おりえんてーしょん
orientation,おりえんてーしょんきょういく
orienteering,おりえんてーりんぐ
oriented,おりえんてっど
Orient,おりえんと
Orient express,おりえんときゅうこう
Oriental art,おりえんとびじゅつ
Orion,おりおん
Orion,おりおんざ
ORIONS,おりおんず
Orion Nebula,おりおんせいうん
oligarchy,おりがーきー
original character (i.e. not a character from some other existing work),おりきゃら
oligosaccharide (sugar polymer containing several but not many component simple sugars),おりごとう
oligonucleotide,おりごぬくれおちど
oligopoly,おりごぽりー
oligomer,おりごまー
original content,おりこん
Oryzanin (brand-name vitamin B1; extracted from rice),おりざにん
originality,おりじなりてぃ
originality,おりじなりてぃー
original,おりじなる
original content,おりじなる・こんてんつ
original calorie,おりじなるかろりー
original content,おりじなるこんてんつ
original scenario,おりじなるしなりお
originality,おりじなるしょう
film released direct-to-video (和製: original video),おりじなるびでお
animated film released direct-to-video (和製: original video animation),おりじなるびでおあにめーしょん
original print,おりじなるぷりんと
original program,おりじなるぷろぐらむ
originate mode,おりじねーともーど
origin,おりじん
olistostrome,おりすとすとろーむ
oryx (esp. the gemsbok, Oryx gazella),おりっくす
orichalcum,おりはるこん
orifice,おりふぃす
orientation flat (semiconductors),おりふら
Olympia,おりんぴあ
Olympiad,おりんぴあーど
Olympic,おりんぴっく
Olympic event,おりんぴっくきょうぎ
Olympic Games,おりんぴっくきょうぎ
Olympic Charter,おりんぴっくけんしょう
Olympic Day (June 23rd),おりんぴっくでー
Olympic Park,おりんぴっくぱーく
Olympus,おりんぽす
orgasm (ger: Orgasmus),おるがすむ
orgasm (ger: Orgasmus),おるがすむす
organizer,おるがないざー
organiser,おるがないざー
organize,おるがないず
organise,おるがないず
organist,おるがにすと
organism,おるがにずむ
organelle (lat: organella),おるがねら
organ (musical instrument) (por: orgao),おるがん
organizer,おるぐ
organiser,おるぐ
organize,おるぐ
organise,おるぐ
music box (dut: orgel),おるごーる
orgone energy,おるごん
orthicon (early form of television camera tube),おるしこん
orzo,おるぞー
orthochromatic,おるそくろまちっく
orthoscope (instrument for examining the iris),おるそすこーぷ
orthopanchromatic,おるそぱんくろまちっく
alternative,おるたーなてぃヴ
alternative,おるたーなてぃぶ
alternative,おるたなてぃヴ
alternative,おるたなてぃぶ
alternate,おるたねいと
alternator,おるたねーたー
alternator,おるたねた
ortho,おると
Alt Key,おるときー
Ordovician period,おるどびすき
orthophenyl phenol,おるとふぇにるふぇのーる
OPP,おるとふぇにるふぇのーる
altruism,おるとるいずむ
ornithine,おるにちん
ornithine cycle,おるにちんかいろ
olm (Proteus anguinus),おるむ
oleandomycin,おれあんどまいしん
oleic acid,おれいんさん
type of fraud involving phone calls pretending distress,おれおれさぎ
oleoresin,おれおれじん
orange card,おれか
Oregon,おれごん
Oregon pine (another term for the common Douglas fir, Pseudotsuga menziesii),おれごんぱいん
olefin,おれふぃん
olefine,おれふぃん
alkene,おれふぃん
orange,おれんじ
orange (colour, color),おれんじいろ
orangeade,おれんじえーど
orange card (pre-paid ticket),おれんじかーど
Orange Revolution (Ukraine, 2004-2005),おれんじかくめい
orange juice,おれんじじゅーす
orange peel,おれんじぴーる
orange bitters,おれんじびたーず
orange pekoe,おれんじぺこー
oroide (gold-coloured copper-zinc alloy),おろいど
orotic acid,おろちんさん
sweet grapefruit-like citrus fruit,おろぶろんこ
super-grapefruit,おろぶろんこ
on,おん
on air,おんえあ
on the air,おんえあ
on the air lamp,おんえあらんぷ
on-off,おんおふ
angstrom,おんぐすとろーむ
oncogene,おんこじーん
on-site,おんさいと
on-side,おんさいど
on-site service,おんさいとさーびす
onsite service,おんさいとさーびす
on-site support,おんさいとさぽーと
on-the-job training,おんざじょぶとれーにんぐ
on-the-fly printer,おんざふらいいんじそうち
on-the- fly recording,おんざふらいかきこみ
on the mark,おんざまーく
on the rocks,おんざろっく
on the air,おんじえあ
ounce,おんす
28.35g,おんす
on-screen function,おんすくりーんきのう
on-screen display,おんすくりーんでぃすぷれい
on stage,おんすてーじ
Ontario,おんたりお
on-chip cache,おんちっぷきゃっしゅ
on demand,おんでまんど
on demand dial-up,おんでまんどだいやるあっぷせつぞく
ondes Martenot (electronic musical instrument),おんどまるとの
Korean floor heater,おんどる
ontology (ger: Ontologie),おんとろぎー
display (lit: on parade),おんぱれーど
array of,おんぱれーど
succession of,おんぱれーど
ombudsperson,おんぶずぱーすん
ombudsman,おんぶずまん
on hook,おんふっく
on-board,おんぼーど
on-board computer,おんぼーどこんぴゅーた
onboard device,おんぼーどでばいす
on-mike,おんまいく
on memory,おんめもり
on your mark,おんゆあまーく
on-line,おんらいん
online event,おんらいんいべんと
online auction,おんらいんおーくしょん
online scientific computer,おんらいんかがくこんぴゅーた
online storage,おんらいんきおく
online machines,おんらいんきかい
online equipment,おんらいんきき
online banking facilities,おんらいんぎんこうぎょうむせつび
online computing,おんらいんけいさんしょり
online instrumentation package,おんらいんけいそくきぱっけーじ
online game,おんらいんげーむ
online test facility,おんらいんけんさきのう
online computer,おんらいんこんぴゅーた
online computer,おんらいんこんぴゅーたー
online computer system,おんらいんこんぴゅーたしすてむ
online service,おんらいんさーびす
on-line sign up,おんらいんさいんあっぷ
online sign-up,おんらいんさいんあっぷ
online support center,おんらいんさぽーとせんたー
on-line system,おんらいんしすてむ
online state,おんらいんじょうたい
online information processing,おんらいんじょうほうしょり
online shopping,おんらいんしょっぴんぐ
online shopping carts,おんらいんしょっぴんぐかーと
online shopping site,おんらいんしょっぴんぐさいと
online shop,おんらいんしょっぷ
online processing,おんらいんしょり
online operation,おんらいんしょり
online processing environment,おんらいんしょりかんきょう
online diagnostics,おんらいんしんだん
online store,おんらいんすとあ
online storage,おんらいんすとれーじ
online control,おんらいんせいぎょ
online software,おんらいんそふと
online software,おんらいんそふとうぇあ
online dump,おんらいんだんぷ
online terminal test,おんらいんたんまつてすと
online communication,おんらいんつうしん
on-line dictionary,おんらいんでぃくしょなりー
online delayed time system,おんらいんでぃれいどしょりしすてむ
online directory,おんらいんでぃれくとりー
online data gathering system,おんらいんでーたしゅうしゅうしすてむ
on-line data processing,おんらいんでーたしょり
online data entry,おんらいんでーたにゅうりょく
on-line database,おんらいんでーたべーす
online database,おんらいんでーたべーす
online database system,おんらいんでーたべーすしすてむ
online test,おんらいんてすと
online testing,おんらいんてすと
online test system,おんらいんてすとしすてむ
online test control program,おんらいんてすとせいぎょぷろぐらむ
online test section,おんらいんてすとせくしょん
online test program,おんらいんてすとぷろぐらむ
on-line job-hunting,おんらいんでのきゅうしょくかつどう
online debugging,おんらいんでばっぎんぐ
online debug,おんらいんでばっぐ
online teller-machine,おんらいんてらーずましん
online working,おんらいんどうさじょうたい
online transaction processing,おんらいんとらんざくしょんしょり
on-line trading,おんらいんとれーでぃんぐ
on-line network system,おんらいんねっとわーくしすてむ
online buddy,おんらいんのゆうじん
online distribution,おんらいんはいふ
online pattern analysis and recognition system,おんらいんぱたーんかいせきにんしきしすてむ
online backup,おんらいんばっくあっぷ
online package,おんらいんぱっけーじ
online batch processing system,おんらいんばっちしょりしすてむ
on-line version,おんらいんはん
on-line edition,おんらいんはん
online banking,おんらいんばんきんぐ
online banking system,おんらいんばんきんぐしすてむ
online programming system,おんらいんぷろぐらみんぐしすてむ
online project management,おんらいんぷろじぇくとかんり
online analysis,おんらいんぶんせき
On-Line Analytical Processing,おんらいんぶんせきしょり
OLAP,おんらいんぶんせきしょり
online help,おんらいんへるぷ
on-line volume management,おんらいんぼりゅーむかんり
online magazine,おんらいんまがじん
online-manual,おんらいんまにゅある
online documentation,おんらいんまにゅある
on-screen electronic book,おんらいんまにゅある
online media pioneer,おんらいんめでぃあのぱいおにあ
online sign-up,おんらいんもうしこみ
online mode,おんらいんもーど
online monitor,おんらいんもにた
online problem solving,おんらいんもんだいかいけつ
online real time,おんらいんりあるたいむ
online real-time surveillance,おんらいんりあるたいむかんし
on-line real time system,おんらいんりあるたいむしすてむ
online real-time processing,おんらいんりあるたいむしょり
online real-time system,おんらいんりあるたいむしょりしすてむ
online consumers,おんらいんりようしゃ
on-ramp,おんらんぷ
only,おんり
only,おんりい
only,おんりー
unique (和製: only one),おんりーわん
on-limits,おんりみっと
onward,おんわーど
(read aska) counter for the ichi-ni-san counting system (usu. directly preceding the item being counted),が
a noun read using its on-yomi,が
car,かー
gar (any fish of family Lepisosteidae),がー
garfish,がー
garpike,がー
curve,かーヴ
automotive electronics,かーえれ
automotive electronics (和製: car electronics),かーえれくとろにくす
caw (sound made by crows),かーかー
croak,かーかー
quack (sound made by ducks),がーがー
braak,がーがー
carcass (inner body of a car tyre) (tire),かーかす
carcase,かーかす
khaki,かーき
khaki,かーきいろ
petrolhead,かーきち
car nut,かーきち
petrolhead,かーきち
car nut,かーきち
car air-conditioner (和製: car cooler),かーくーらー
cargo,かーご
gargoyle,がーごいる
cargo cult (Melanesian belief system),かーごかると
box pallet (from cargo container),かーごてなー
house (spa: casa),かーさ
kasher,かーしぇーる
kosher,かーしぇーる
cardinal (Catholic prelate, number characteristic, etc.),かーじなる
Cardinals (US baseball team),かーじなるす
curse,かーす
girth control,がーすこんとろーる
car stereo,かーすてれお
caste,かーすと
sleeping car (car sleeper) (train),かーすりーぱー
gauze (ger: Gaze),がーぜ
car sex,かーせっくす
cursor,かーそる
cursor control key,かーそるいどうきー
cursor keys,かーそるきー
cursored emphasis,かーそるきょうちょう
cursor control key,かーそるこんとろーるきー
garter,がーたー
garter stitch,がーたーあみ
garter snake,がーたーすねーく
car dumper,かーだんぱー
car chase,かーちぇいす
with a grinding noise,がーっ
guardian,がーでぃあん
cardigan,かーでぃがん
cardinal,かーでぃなる
courtesy,かーてし
gardening,がーでにんぐ
curtain,かーてん
curtains,かーてん
garden,がーでん
curtain antenna,かーてんあんてな
curtain wall,かーてんうぉーる
curtain wall,かーてんうおーる
curtain call,かーてんこーる
garden smoker,がーでんすもーかー
garden tractor,がーでんとらくたー
garden party,がーでんぱーてぃー
garden house,がーでんはうす
curtain ring,かーてんりんぐ
curtain rail,かーてんれーる
curtain lecture,かーてんれくちゃー
cart,かーと
card,かーど
curd,かーど
guard,がーど
girder bridge,がーど
cartoon,かーとぅーん
edge connector,かーどえっじこねくた
card feed,かーどおくりきこう
card holder,かーどかいいん
cardmember,かーどかいいん
card-type database,かーどがたでーたべーす
card cage,かーどけーじ
card cage extrusion,かーどけーじのとっしゅつぶ
guard cable,がーどけーぶる
card game,かーどげーむ
card services,かーどさーびす
card system,かーどしすてむ
card stacker,かーどすたっか
card slot,かーどすろっと
card punch,かーどせんこうきこう
card punch,かーどせんこうそうち
card path,かーどつうろ
card deck,かーどでっく
personal bankruptcy caused by excessive card-loan borrowing,かーどはさん
CardBus,かーどばす
guard bunker,がーどばんかー
guard band,がーどばんど
card sorter,かーどぶんるいき
card hopper,かーどほっぱ
security guard (和製: guardman),がーどまん
card reader,かーどよみとりきこう
card reader,かーどよみとりそうち
card reader,かーどよみとりそうち
card reader,かーどりーだー
cartridge,かーとりっじ
cartridge tape drive,かーとりっじてーぷどらいぶ
cartridge tape drive module,かーとりっじてーぷどらいぶもじゅーる
cartridge font,かーとりっじふぉんと
curdle,かーどる
bundle (fre: cadre),かーどる
rack for storage or transport,かーどる
stillage,かーどる
girdle,がーどる
car train,かーとれいん
guardrail,がーどれーる
passenger and freight train (和製: car train),かーとれーん
card loan,かーどろーん
carton (e.g. of cigarettes),かーとん
tray (in which money is placed when paying),かーとん
dish,かーとん
Ghana,がーな
Republic of Ghana,がーなきょうわこく
car navigation system,かーなび
car navigation,かーなびげーしょん
car navigation system,かーなびげーしょんしすてむ
carnallite,かーならいと
garnish,がーにっしゅ
trim,がーにっしゅ
carnival,かーにばる
kerning,かーにんぐ
qanun (Near-Eastern string instrument),かーぬーん
carnation,かーねーしょん
carnation,かーねーじょん
garnet,がーねっと
kernel,かーねる
Kaaba,かーば
garpike (any fish of family Lepisosteidae),がーぱいく
garfish,がーぱいく
gar,がーぱいく
carbide,かーばいど
carbide,かーばいど
car heater,かーひーたー
carbine,かーびん
carving,かーびんぐ
carving knife,かーびんぐないふ
carbine,かーびんじゅう
calf,かーふ
curve,かーぶ
curve ball (baseball),かーぶ
car pool,かーぷーる
car ferry,かーふぇりー
curved ruler,かーぶじゃく
calfskin,かーふすきん
curve follower,かーぶふぉろあ
curb market,かーぶまーけっと
convex mirror,かーぶみらー
garbage,がーべーじ
garbage collection,がーべじこれくしょん
garbage,がーべっじ
garbage collection,がーべっじこれくしょん
GC,がーべっじこれくしょん
carpet,かーぺっと
gerbera,がーべら
African daisy,がーべら
carpenter,かーぺんたー
Gulf of Carpentaria,かーぺんたりあわん
cowboy,かーぼーい
carport,かーぽーと
carbonatite,かーぼなたいと
carborundum (hard silicon carbide solid, used as an abrasive),かーぼらんだむ
carboloy (alloy containing carbon, cobalt, and tungsten),かーぼろい
garbology,がーぼろじー
carbon,かーぼん
carbon paper,かーぼんかみ
carbon graphite,かーぼんぐらふぁいと
carbon copy,かーぼんこぴー
carbon paper,かーぼんし
carbon dating,かーぼんでーてぃんぐ
carbon nano-tube,かーぼんなのちゅーぶ
carbon nanotube,かーぼんなのちゅーぶ
carbon-neutral,かーぼんにゅーとらる
carbon fiber,かーぼんふぁいばー
carbon fibre,かーぼんふぁいばー
carbon black,かーぼんぶらっく
carbon head,かーぼんへっど
carbon microphone,かーぼんまいくろほん
carbon ribbon,かーぼんりぼん
carbonless paper,かーぼんれすぺーぱー
carbon rod,かーぼんろっど
Karma,かーま
carmine,かーまいん
carmine red,かーまいんれっど
Kamasutra,かーますーとら
car enthusiast (和製: car mania),かーまにあ
car buff,かーまにあ
Kermit,かーみっと
carmine (dut: karmijn),かーみん
garment,がーめんと
curler,かーらー
car life,かーらいふ
car radio,かーらじお
Curlash,かーらっしゅ
car lease,かーりーす
curly hair,かーりーへあ
garlic (edible plant, Allium sativum),がーりっく
garlic salt,がーりっくそると
curling,かーりんぐ
curl,かーる
cwm (ger: Kar),かーる
cirque,かーる
corrie,かーる
girl,がーる
Girl Scouts,がーるすかうと
comics or novels about female homosexuality (和製: girls love),がーるずらぶ
girl hunt,がーるはんと
girl friend,がーるふれんど
girlfriend,がーるふれんど
racing driver (和製: car racer),かーれーさー
car race,かーれーす
car wax,かーわっくす
kern,かーん
Kahn,かーん
sound effect for shock (usu. the disappointing kind),がーん
clanging,かーんかーん
dong dong,かーんかーん
guernsey,がーんじー
Guernsey (island),がーんじーとう
guy,がい
Gaia,がいあ
Gaea,がいあ
Ge,がいあ
copepods (small crustaceans of subclass Copepoda),かいあしるい
Guyana,がいあな
Co-operative Republic of Guyana,がいあなきょうどうきょうわこく
