Sakhalin,さはりん
somersault turn,さまそるとたーん
summarize,さまらいず
summarise,さまらいず
summary,さまり
summary,さまりー
summary project,さまりーぷろじぇくと
samarium (Sm),さまりうむ
summary project,さまりぷろじぇくと
underground publishing (rus: samizdat),さみずだーと
summit,さみっと
Samuel,さみゅえる
thumbing (in boxing, poking a thumb in one's opponent's eye),さみんぐ
sum,さむ
surface-to-air missile,さむ
SAM,さむ
Samuel II (book of the Bible),さむえるきか
Samuel I (book of the Bible),さむえるきじょう
something,さむしんぐ
thumbs up,さむずあっぷ
thumbturn,さむたーん
checksum,さむちぇっく
thumbnail (i.e. miniature image),さむねいる
thumbnail (i.e. miniature image),さむねーる
thumb wheel,さむほいーる
thumbhole,さむほーる
Polyergus samurai (species of amazon ant),さむらいあり
samurai loan,さむらいさい
yen-denominated loan,さむらいさい
rough-skinned newt (Taricha granulosa),さめはだいもり
shark fin,さめひれ
Samoa (islands),さもあしょとう
samosa,さもさ
samovar,さもわーる
spear squid (Loligo bleekeri),さやなが
oedogonium (any of a genus of filamentous green algae),さやみどろ
nightingale (Luscinia megarhynchos),さよなきどり
good-bye,さよなら
Japanese halfbeak (species of fish with elongated lower jaw) (Hemiramphus sajori),さより
stickleback,さより
salary,さら
salaryman,さら
surround,さらうんど
surround system,さらうんどしすてむ
consumer financing firm,さらきん
loan shark,さらきん
redvein enkianthus,さらさどうだん
enkianthus campanulatus,さらさどうだん
sarracenia,さらせにあ
thalassemia,さらせみあ
thalassaemia,さらせみあ
Saracen,さらせん
salad,さらだ
salad oil,さらだおいる
salad dressing,さらだどれっしんぐ
butterhead lettuce,さらだな
salad bar,さらだばー
plate of salad,さらだひとさら
salad bowl,さらだぼうる
salad-bowl,さらだぼーる
salad oil,さらだゆ
to be rough feeling,ざらつく
salad dressing,さらどれ
saraband (music),さらばんど
sarabande,さらばんど
sarafan (type of garment),さらふぁん
thoroughbred,さらぶれっど
thoroughbred,さらぶれっどしゅ
salamander,さらまんだー
salami,さらみ
salary,さらりー
office worker (和製: salary man),さらりーまん
company employee,さらりーまん
consumer financing,さらりーまんきんゆう
cling wrap,さらんらっぷ
Saran wrap (US),さらんらっぷ
glad wrap (Aus),さらんらっぷ
cling film,さらんらっぷ
sari,さりー
crayfish (esp. Japanese crayfish, Cambaroides japonicus),ざりがに
salithion,さりちおん
salicylic,さりちる
salicylic acid,さりちるさん
sodium salicylate,さりちるさんなとりうむ
phenyl salicylate,さりちるさんふぇにる
methyl salicylate,さりちるさんめちる
thalidomide,さりどまいど
thalidomide baby,さりどまいどべびー
Sarin (type of poison nerve-gas),さりん
saloon,さるーん
old man's beard (any lichen of genus Usnea),さるおがせ
sarcoidosis,さるこいどーしす
sarsaparilla (Smilax regelii) (lit: sarsa),さるさ
salsa,さるさ
zarzuela,さるすえら
sardana,さるだーな
sultan,さるたん
Smilax china (species of sarsaparilla),さるとりいばら
salpa (any tunicate of genus Salpa),さるぱ
salp,さるぱ
salpian,さるぱ
Salvarsan (brand name of arsphenamine),さるばるさん
salvia,さるびあ
sage,さるびあ
sulfur,さるふぁ
sulphur,さるふぁ
sulfite pulp,さるふぁいとぱるぷ
sulfa drug,さるふぁざい
sulfadiazine,さるふぁだいあじん
salvage,さるべーじ
salvage boat,さるべーじせん
primates,さるもく
Salmonella,さるもねら
salmonella,さるもねらきん
salmonella food poisoning,さるもねらしょくちゅうどく
surrogate pair (of characters),さろげーとぺあ
surrogate mother,さろげーとまざー
saros (period of approximately 18 years and 11 days between repetition of eclipses),さろす
Saros cycle,さろすしゅうき
overall (fre: salopette),さろぺっと
overalls,さろぺっと
salon,さろん
sarong,さろん
sarong apron,さろんえぷろん
social,さろんてき
exclusive,さろんてき
salon music,さろんみゅーじっく
sour,さわー
sauerkraut,さわーくらうと
sauerkraut (i.e. pickled cabbage),ざわーくらうと
sauerkraut (i.e. pickled cabbage),ざわーくらふと
sour cream,さわーくりーむ
sourdough,さわーだね
sourdough,さわーどう
Japanese freshwater crab (Geothelphusa dehaani),さわがに
Japanese wing nut,さわぐるみ
pterocarya rhoifolia,さわぐるみ
heartleaf hornbeam,さわしば
carpinus cordata,さわしば
to be noisy (e.g. from people talking),ざわつく
Japanese Spanish mackerel (Scomberomorus niphonius),さわら
sun,さん
saint,さん
San (people),さん
sunscreen (和製: suntan oil),さんおいる
sunblock,さんおいる
SunOS,さんおーえす
son of a bitch,さんおぶあびっち
yellow stem borer (species of moth, Scirpophaga incertulas),さんかめいが
Sangerism,さんがりずむ
Sunkist,さんきすと
thank you,さんきゅー
Smilax glabra (species of sarsaparilla),さんきらい
Smilax china (species of sarsaparilla),さんきらい
sunk garden,さんくがーでん
sunk cost,さんくこすと
sanction,さんくしょん
thanks,さんくす
Thanksgiving Day,さんくすぎびんぐでー
sanctuary,さんくちゅあり
sanctuary,さんくちゅありー
sans couture,さんくちゅーる
seamless,さんくちゅーる
sunglasses,さんぐらす
sangria,さんぐりあ
sun protection index,さんけあしすう
Japanese paradise flycatcher (Terpsiphone atrocaudata),さんこうちょう
coral reef,さんごしょう
coral snake,さんごへび
Cornus alba,さんごみずき
sansa,さんざ
hawthorn,さんざし
Crataegus cuneata,さんざし
Crataegus apiifolia,さんざし
may,さんざし
quickthorn,さんざし
whitethorn,さんざし
sunshade,さんしぇーど
syndicalist,さんじかりすと
syndicalism,さんじかりすむ
syndicalism,さんじかりずむ
syndicalist,さんじかるすと
syndicalism,さんじかるすむ
Saint-Simonism,さんしもにずむ
sunshine,さんしゃいん
Asiatic dogwood (Cornus officinalis),さんしゅゆ
Japanese cornel,さんしゅゆ
Japanese cornelian-cherry,さんしゅゆ
ashy minivet (species of passerine bird, Pericrocotus divaricatus),さんしょうくい
floating watermoss (Salvinia natans),さんしょうも
sans-souci,さんすーし
carefree,さんすーし
sunsuit,さんすーつ
sunscreen,さんすくりーん
Sanskrit,さんすくりっと
Sanskrit (language),さんすくりっとご
Treaty of San Stefano (ending the Russo-Turkish War, 1878),さんすてふぁのじょうやく
sunstone,さんすとーん
Sankei Sports,さんすぽ
sunset,さんせっと
sansevieria (esp. mother-in-law's tongue, Sansevieria trifasciata),さんせべーりあ
sanseveria,さんせべーりあ
sansevieria (esp. mother-in-law's tongue, Sansevieria trifasciata),さんせべりあ
sanseveria,さんせべりあ
sans serif,さんせりふ
San (people),さんぞく
SunSoft,さんそふと
Sanson-Flamsteed projection,さんそんずほう
sinusoidal projection,さんそんずほう
thunder,さんだー
thunderbird (North-American indigenous mythical spirit bird),さんだーばーど
thunderbird (Australian bird, Pachycephala gutturalis),さんだーばーど
Santa Clara (in California),さんたくらら
Santa Cruz,さんたくるーず
Santa Claus,さんたくろーす
Santa Fe,さんたふぇ
Santa Maria,さんたまりあ
sandal,さんだる
wearing sandals,さんだるばき
informal,さんだるばき
casual,さんだるばき
suntan,さんたん
suntan oil,さんたんおいる
ixora chinensis (flower),さんたんか
centime,さんちーむ
Korean lettuce (kor: sangchu),さんちゅ
belt (fre: ceinture),さんちゅーる
San Diego,さんでぃえご
syndicaliste,さんでぃかりすと
syndicalisme,さんでぃかりすむ
syndicalism,さんでぃかりずむ
sundae,さんでー
Sunday,さんでー
sun deck,さんでっき
synthetism (fre: synthetisme),さんててぃすむ
saint,さんと
sand,さんど
sandwich,さんど
sandwich,さんどいっち
sandwich structure,さんどいっちこうぞう
sandwich man,さんどいっちまん
sandwich,さんどうぃっち
sand wedge,さんどうぇっじ
sand wedge,さんどうえっじ
sand skiing,さんどすきー
sandstorm,さんどすとーむ
sandstone,さんどすとーん
santonin,さんとにん
sand pile,さんどぱいる
sand buggy,さんどばぎー
sand bath,さんどばす
sandbag,さんどばっぐ
sandblast,さんどぶらすと
sandpaper,さんどぺーぱー
sandbox,さんどぼっくす
sand pump,さんどぽんぷ
(Democratic Republic of) Sao Tome and Principe,さんとめぷりんしぺ
soundtrack,さんとら
Suntory,さんとりー
Suntory Hall,さんとりーほーる
sundress,さんどれす
San Jose,さんのぜ
samba,さんば
sambar,さんばー
sunburn,さんばーん
sun visor,さんばいざー
386,さんはちろく
Zambia,ざんびあ
sunbeam,さんびーむ
Sanforized,さんふぉらいず
Sanforised,さんふぉらいず
sampler,さんぷら
imitation platinum,さんぷら
sampler,さんぷらー
sunflower,さんふらわー
San Francisco,さんふらんしすこ
Treaty of San Francisco,さんふらんしすここうわじょうやく
Treaty of Peace with Japan (Sept. 8, 1951),さんふらんしすここうわじょうやく
sampling,さんぷりんぐ
sampling keyboard,さんぷりんぐきーぼーど
sampling frequency,さんぷりんぐしゅうはすう
sampling theorem,さんぷりんぐていり
sampling rate,さんぷりんぐれーと
sample,さんぷる
sample size,さんぷるさいず
sample group,さんぷるしゅうだん
sample set,さんぷるしゅうだん
sample selling system,さんぷるせりんぐしすてむ
sample document,さんぷるどきゅめんと
sample book,さんぷるぶっく
sample-and-hold device,さんぷるほーるどそうち
Sunbelt,さんべると
self-defence (defense) (type of wrestling) (rus: sambo),さんぼ
symbolist,さんぼりすと
symbolism (19th-century artistic movement),さんぼりすむ
symbolism,さんぼりずむ
summer,さんまー
Sun Microsystems,さんまいくろしすてむず
San Marino,さんまりの
sun music,さんみゅーじっく
Sun User Group,さんゆーざぐるーぷ
SUG,さんゆーざぐるーぷ
sunrise,さんらいず
half-melon shaped bun (term used in the Chugoku area),さんらいず
sunroof,さんるーふ
sunroom,さんるーむ
Yves Saint-Laurent,さんろーらん
ti,し
si,し
7th note in the tonic solfa representation of the diatonic scale,し
note of B,し
Sears,しあーず
diastase (ger: Diastase),じあすたーぜ
diacetylmorphine (ger: Diacetylmorphin),じあせちるもるひね
diazepam,じあぜぱむ
diazotization,じあぞか
diazo compound,じあぞかごうぶつ
diazo paper,じあぞかんこうし
diazotype paper,じあぞかんこうし
diazodinitrophenol,じあぞじにとろふぇのーる
diazonium salt,じあぞにうむえん
diazotype,じあぞふくしゃ
diazo,じあぞふくしゃ
theater,しあたー
theatre,しあたー
theatre organ,しあたーおるがん
Seattle,しあとる
cyanamide (ger: Cyanamid),しあなみど
cyano group,しあのき
cyanocobalamin,しあのこばらみん
cyanobacteria,しあのばくてりあ
diamine,じあみん
cyan,しあん
potassium cyanide,しあんかかりうむ
silver cyanide,しあんかぎん
cyanide,しあんかごうぶつ
mercury cyanide,しあんかすいぎん
hydrogen cyanide,しあんかすいそ
sodium cyanide,しあんかなとりうむ
cyanide,しあんかぶつ
cyano group,しあんき
any beech tree of genus Castanopsis,しい
sea,しー
CR,しーあーる
CRM,しーあーるえむ
CRC,しーあーるしー
CRT,しーあーるてぃー
GI,じーあい
general infantry,じーあい
CIE,しーあいいー
Shia (sect of Islam) (ara: Shi'a),しーあは
sea anchor,しーあんかー
sea and air system,しーあんどえあほうしき
CE,しーいー
seeing,しーいんぐ
CA,しーえー
CAE,しーえーいー
CAV,しーえーぶい
CSMA-CA,しーえすえむえーしーえー
CSMA-CD,しーえすえむえーしーでぃー
CSJ,しーえすじぇい
CSNET,しーえすねっと
CSV,しーえすぶい
cf,しーえふ
CMYK,しーえむわいけー
CLV,しーえるぶい
Xeon,じーおん
seeker,しーかー
sea kayak,しーかやっく
Sikh,しーく
seek,しーく
gigue,じーぐ
sequence,しーくぇんす
sequence,しーくえんす
Sikhism,しーくきょう
positioning time,しーくじかん
seek time,しーくじかん
seek time,しーくたいむ
sea green,しーぐりーん
secret,しーくれっと
shoes with thick soles to make one look taller (和製: secret shoes),しーくれっと・しゅーず
secret service,しーくれっとさーびす
shoes with thick soles to make one look taller (和製: secret shoes),しーくれっとしゅーず
flat lemon (Citrus depressa Hayata),しーくゎーさー
Hirami lemon,しーくゎーさー
thin-skinned flat lemon,しーくゎーさー
shekwasha,しーくゎーさー
Taiwan tangerine,しーくゎーさー
flat lemon (Citrus depressa Hayata),しーくわーしゃー
Hirami lemon,しーくわーしゃー
thin-skinned flat lemon,しーくわーしゃー
shekwasha,しーくわーしゃー
Taiwan tangerine,しーくわーしゃー
Seagate,しーげーと
sequencer,しーけんさ
sequencer,しーけんさー
sequential,しーけんしゃる
sequential access,しーけんしゃるあくせす
sequential file,しーけんしゃるふぁいる
sequence,しーけんす
sequence soft,しーけんすそふと
sequence number,しーけんすばんごう
Okinawan lion statues, used as talisman against evil,しーさー
Caesar,しいざあ
seaside,しーさいど
seaside school,しーさいどすくーる
seaside resort,しーさいどりぞーと
Seasat,しーさっと
cc:,しーしー
carbon copy,しーしー
CCITT,しーしーあいてぃーてぃー
CGA,しーじーえー
CCD,しーしーでぃー
cc:Mail,しーしーめいる
C shell,しーしぇる
seasickness,しーしっく
gzip,じーじっぷ
C#,しーしゃーぷ
seajack,しーじゃっく
denim jacket (和製: jeans jumper),じーじゃん
sheath,しーす
seeds,しーず
sheath silhouette,しーすしるえっと
sheathing wire,しーずせん
sheath dress,しーすどれす
C-stroke (canoeing),しーすとろーく
sheath knife,しーすないふ
seasonal adjustment (to prices, etc.),しーずなりてぃ
seasonality,しーずなりてぃ
seasoning,しーずにんぐ
sheathed heater,しーすひーたー
CSLIP,しーすりっぷ
see-through (e.g. blouse),しーするー
see-through fabric,しーするーふぁぶりっく
see-through look,しーするーるっく
season (sporting),しーずん
season in,しーずんいん
off-season (和製: season off),しーずんおふ
season stock,しーずんすとっく
season sports,しーずんすぽーつ
season sale,しーずんせーる
season pass,しーずんぱす
diesel,じーぜる
seesaw,しーそー
seesaw (game),しーそーあそび
seesaw game,しーそーげーむ
seesaw policy,しーそーぽりしー
CTERM,しーたーむ
canned tuna (from sea chicken, orig. a brand name),しーちきん
sheeting,しーちんぐ
sheet,しーつ
CD-I,しーでぃーあい
CDMA,しーでぃーえむえー
CD-G,しーでぃーじー
CD-V,しーでぃーぶい
Combined Exhibition of Advanced Technologies (Electronics Show),しーてっく
CEATEC,しーてっく
seat,しーと
sheet,しーと
seed,しーど
seat warmer,しーとうぉーまー
seat cover,しーとかばー
seed spice,しーどすぱいす
fielding practice (practise) (和製: seat knock),しーとのっく
sheet piling (method of interlocking sheets of metal),しーとぱいる
sheet pile,しーとぱいる
sea utopia (和製: seatopia),しーとぴあ
sheet feeder,しーとふぃーだ
sheet-fed scanner,しーとふぃーどすきゃな
sheet film,しーとふぃるむ
seat belt,しーとべると
seatbelt,しーとべると
CNAP,しーなっぷ
genius,じーにあす
Jini,じーにー
sign (fre: signe),しーにゅ
C|NET,しーねっと
any beech tree of genus Castanopsis,しいのき
sea berth,しーばーす
skiers' greeting meaningGood skiing! (ger: Ski Heil),しーはいる
C Bus,しーばす
sea buckthorn (Hippophae rhamnoides),しーばっくそーん
jeans (和製: jeans pants),じーぱん
dungarees,じーぱん
consumer price index,しーぴーあい
CPI,しーぴーあい
consumer price survey,しーぴーえす
CPS,しーぴーえす
CPM,しーぴーえむ
CPL,しーぴーえる
Sea Beam (company name),しーびーむ
C-beam,しーびーむ
CPU,しーぴーゆー
thief (particularly in RPG games),しーふ
sheep,しーぷ
jeep,じーぷ
G5,じーふぁいぶ
Conference of Ministers of the Group of Five,じーふぁいぶ
seafood,しーふーど
sheep shank,しーぷしゃんく
sheep skin,しーぷすきん
sheep dog,しーぷどっぐ
jeepney,じーぷにー
C++,しーぷらすぷらす
C plus plus,しーぷらすぷらす
C++,しーぷらぷら
C plus plus,しーぷらぷら
sievert (Sv),しーべると
seaborgium (Sg),しーぼーぎうむ
seahorse,しーほーす
G-mark,じーまーく
Good design mark,じーまーく
G-men,じーまん
government men,じーまん
seamless,しーむれす
G-man,じーめん
FBI agent,じーめん
Siemens,じーめんす
Siemens scandal (1914),しーめんすじけん
complementary metal-oxide semiconductor,しーもす
CMOS,しーもす
Sea-Monkeys (trademarked variant of brine shrimp),しーもんきー
CUI,しーゆーあい
CUSI,しーゆーえすあい
CUG,しーゆーじー
CU-SeeMe,しーゆーしーみー
mahimahi (Coryphaena hippurus),しいら
common dolphinfish,しいら
dolphin,しいら
dorado,しいら
coelacanth,しーらかんす
Cirrus Logic,しーらすろじっく
Sealab,しーらぶ
series,しーりーず
glibc,じーりぶしー
ceiling,しーりんぐ
sealing (compound, act of, etc.),しーりんぐ
ceiling light,しーりんぐしょうめいきぐ
ceiling price,しーりんぐぷらいす
ceiling system,しーりんぐほうしき
ceiling lamp,しーりんぐらんぷ
seal,しーる
sticker,しーる
zeal,じーる
sealskin,しーるすきん
seal set,しーるせっと
set of stickers,しーるせっと
thread sealing tape (和製: seal tape),しーるてーぷ
plumber's tape,しーるてーぷ
shield,しーるど
shield method,しーるどこうほう
shield room,しーるどるーむ
sea-lane,しーれーん
sea-lane,しーれん
coelostat,しーろすたっと
ceilometer,しーろめーた
ceilometer,しーろめーたー
silently (as the grave),しーん
quietly (as in death),しーん
scene,しーん
gene,じーん
gene engineering,じーんえんじにありんぐ
genetic engineering,じーんえんじにありんぐ
jeans,じーんず
jeans pants,じーんずぱんつ
ability of a video camera to hold a scene steady (和製: scene toughness),しーんたふねすせい
extremely cold feeling that makes one feel numb,じーんと
sharp pain that is almost numbing,じーんと
heartrending,じーんと
touching the heart,じーんと
to be moved to the point of tears,じーんとくる
to be touched,じーんとくる
gene bank,じーんばんく
share,しぇあ
shared,しぇあーど
shared hub,しぇあーどはぶ
shared memory,しぇあーどめもり
shared memory,しぇあーどめもりー
shared library,しぇあーどらいぶらり
shareware,しぇあうぇあ
shareware,しぇあうえあ
share cropper,しぇあくろっぱー
share-house,しぇあはうす
sharing,しぇありんぐ
jay,じぇい
Jinitiator,じぇいいにしえーた
shake,しぇいく
Jside.com,じぇいさいど・どっと・こむ
JCL,じぇいしーえる
JEIDA,じぇいだ
JDK,じぇいでぃーけー
JDEdwards,じぇいでぃえどわーず
JDBC,じぇいでーびーしー
shade,しぇいど
jade,じぇいど
shaper,しぇいぱ
JPNIC,じぇいぴーにっく
shaping,しぇいぴんぐ
shape-up,しぇいぷあっぷ
shaped canvas,しぇいぷときゃんばす
JPEG,じぇいぺぐ
shaker,しぇーかー
shake,しぇーく
sheik dollar,しぇーくだらー
shake hands,しぇーくはんど
shake-hands grip (in ping-pong, table tennis),しぇーくはんどぐりっぷ
Sjogren's sydrome,しぇーぐれんしょうこうぐん
Sjogren's disease,しぇーぐれんしょうこうぐん
J-stroke (canoeing),じぇーすとろーく
shading,しぇーでぃんぐ
shade,しぇーど
jade,じぇーど
shaver,しぇーばー
shaper,しぇーぱー
shaving,しぇーびんぐ
shaping,しぇーぴんぐ
shaving cream,しぇーびんぐくりーむ
shaving foam,しぇーびんぐふぉーむ
shaving lotion,しぇーびんぐろーしょん
shape,しぇーぷ
shape-up,しぇーぷあっぷ
scheme (ger: Schema),しぇーま
schema,しぇーま
shale oil,しぇーるおいる
geodesic,じぇおでしっく
geodome,じぇおどーむ
job entry subsystem,じぇす
JES,じぇす
Jesuit,じぇすいっと
siesta,しえすた
gesture,じぇすちゃ
gesture,じぇすちゃー
charades (和製: gesture game),じぇすちゃーげーむ
diester (synthetic oil used as lubricant),じぇすてる
diester (synthetic oil used as lubricant),じえすてる
diethyl ether,じえちるえーてる
diethylstilbestrol,じえちるすちるべすとろーる
diethylene glycol,じえちれんぐりこーる
jet,じぇっと
jet engine,じぇっとえんじん
jet aeroplane,じぇっとき
jet airplane,じぇっとき
jet stream,じぇっときりゅう
roller coaster (和製: jet coaster),じぇっとこーすたー
Jet Propulsion Laboratory,じぇっとすいしんけんきゅうしょ
JPL,じぇっとすいしんけんきゅうしょ
jet propulsion ship,じぇっとすいしんせん
jet ski,じぇっとすきー
jet stream,じぇっとすとりーむ
jet set,じぇっとせっと
jet fuel,じぇっとねんりょう
jetfoil,じぇっとふぉいる
jet pump,じぇっとぽんぷ
jet-lag,じぇっとらぐ
chenille,しぇにーるいと
chenille yarn,しぇにーるいと
general strike,じぇねすと
genetic,じぇねてぃっく
genetic algorithms,じぇねてぃっくあるごりずむ
genetic system,じぇねてぃっくしすてむ
generalist,じぇねらりすと
general,じぇねらる
generic,じぇねりっく
generic drug,じぇねりっくいやくひん
generic cell rate algorithm,じぇねりっくせるそくどあるごりずむ
GCRA,じぇねりっくせるそくどあるごりずむ
generic PC,じぇねりっくなぴーしーごかんき
generic product,じぇねりっくひん
generic brand,じぇねりっくぶらんど
generation,じぇねれーしょん
generation gap,じぇねれーしょんぎゃっぷ
generator,じぇねれーた
generator,じぇねれーたー
generate,じぇねれーと
genocide,じぇのさいど
Convention on the Prevention and Punishment of the Crime of Genocide (United Nations, 1948),じぇのさいどじょうやく
genomics,じぇのみくす
shepherd,しぇぱーど
German sheperd,しぇぱーど
shepherd's check,しぇぱーどちぇっく
chef,しぇふ
Jemaah Islamiah,じぇまー・いすらみあ
JI,じぇまー・いすらみあ
Jemaah Islamiah,じぇまーいすらみあ
JI,じぇまーいすらみあ
Gemini,じぇみに
gem,じぇむ
gemstone,じぇむすとーん
gelato (Italian ice cream),じぇらーと
jealousy,じぇらしー
gelatin,じぇらちん
gelatine,じぇらちん
shellac,しぇらっく
duralumin,じぇらるみん
Sierra Leone,しえられおね
gerund,じぇらんど
sherry,しぇりー
jelly,じぇりぃ
jelly,じぇりー
sherry,しぇりーしゅ
jelly beans,じぇりーびーんず
jellybeans,じぇりーびーんず
jelly bean,じぇりーびーんず
jellybean,じぇりーびーんず
jerrycan,じぇりかん
sheriff,しぇりふ
shell,しぇる
gel (hair, soap),じぇる
shell construction,しぇるこうぞう
shell-script,しぇるすくりぷと
shelter,しぇるたー
sheltered housing,しぇるたーどはうじんぐ
Sherpa,しぇるぱ
Sherpa (people),しぇるぱぞく
shelf,しぇるふ
shell program,しぇるぷろぐらま
shell prompt,しぇるぷろんぷと
shell variable,しぇるへんすう
gerontocracy,じぇろんとくらしー
gerontology,じぇろんとろじー
gender,じぇんだー
gender gap,じぇんだーぎゃっぷ
gender balance,じぇんだーばらんす
gender equality (和製: gender-free),じぇんだーふりー
gentoo penguin (Pygoscelis papua),じぇんつーぺんぎん
the end,じえんど
gentry,じぇんとり
gentry,じぇんとりー
